Interaction:  mu_gam_178(X)^(*)  AntiPart mu_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:mu(X_1), AntiPart mu(X_2),  OffShell A(V_1), : -1/2*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*e_{j_73,%del_176}(p_4)_v*e_{i_73,%gam_176}(p_3)_u^(*)*mu_{k_71,%eps_82}(p_1)_u*mu_{l_71,%eta_160}(p_2)_v^(*)/(m_mu^2 + s_12 + 1/2*reg_prop) : 1/4*e^4*(16*m_e^2*m_mu^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  d_eta_217222(X)^(*)  to  mu_alpha_108339(X)  d_beta_76011(X) : Vertex V_1:d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268384,%gam_105965,%alpha_108336}*gamma_{%\nu_268384,%gam_105966,%del_93006}*d_{j_98825,%gam_105966}(p_4)_u^(*)*d_{l_98823,%del_93006}(p_2)_u*mu_{k_98823,%alpha_108336}(p_1)_u*mu_{i_98825,%gam_105965}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  d_eta_217222(X)^(*)  to  mu_alpha_108339(X)  OffShell d_beta_76015(X) : Vertex V_1:d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268423,%eta_217240,%eps_85718}*gamma_{%\nu_268423,%gam_106010,%eta_217241}*d_{j_98832,%gam_106010}(p_4)_u^(*)*d_{l_98830,%eta_217241}(p_2)_u*mu_{k_98830,%eps_85718}(p_1)_u*mu_{i_98832,%eta_217240}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  d_eta_217222(X)^(*)  to  OffShell mu_beta_76017(X)  d_gam_106039(X) : Vertex V_1:d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268474,%eta_217291,%eps_85743}*gamma_{%\nu_268474,%gam_106037,%eta_217292}*d_{j_98843,%gam_106037}(p_4)_u^(*)*d_{l_98841,%eta_217292}(p_2)_u*mu_{k_98841,%eps_85743}(p_1)_u*mu_{i_98843,%eta_217291}(p_3)_u^(*)/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  d_eta_217222(X)^(*)  to  OffShell mu_beta_76017(X)  OffShell d_alpha_108391(X) : Vertex V_1:d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268513,%eta_217345,%eps_85768}*gamma_{%\nu_268513,%gam_106064,%eta_217346}*d_{l_98848,%eta_217346}(p_2)_u*d_{j_98850,%gam_106064}(p_4)_u^(*)*mu_{k_98848,%eps_85768}(p_1)_u*mu_{i_98850,%eta_217345}(p_3)_u^(*)/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  OffShell d_eta_217399(X)^(*)  to  mu_alpha_108405(X)  d_beta_76031(X) : Vertex V_1: OffShell d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268596,%eta_217397,%eps_85800}*gamma_{%\nu_268596,%gam_106102,%gam_106103}*d_{j_98877,%gam_106102}(p_4)_u^(*)*d_{l_98875,%gam_106103}(p_2)_u*mu_{i_98877,%eta_217397}(p_3)_u^(*)*mu_{k_98875,%eps_85800}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  OffShell d_eta_217399(X)^(*)  to  mu_alpha_108405(X)  OffShell d_alpha_108415(X) : Vertex V_1: OffShell d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268638,%eta_217432,%eps_85828}*gamma_{%\nu_268638,%gam_106147,%eta_217433}*d_{l_98882,%eta_217433}(p_2)_u*d_{j_98884,%gam_106147}(p_4)_u^(*)*mu_{k_98882,%eps_85828}(p_1)_u*mu_{i_98884,%eta_217432}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  OffShell d_eta_217399(X)^(*)  to  OffShell mu_alpha_108425(X)  d_beta_76035(X) : Vertex V_1: OffShell d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268689,%eta_217486,%eps_85854}*gamma_{%\nu_268689,%gam_106174,%eta_217487}*d_{j_98895,%gam_106174}(p_4)_u^(*)*d_{l_98893,%eta_217487}(p_2)_u*mu_{i_98895,%eta_217486}(p_3)_u^(*)*mu_{k_98893,%eps_85854}(p_1)_u/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  OffShell d_eta_217399(X)^(*)  to  OffShell mu_alpha_108425(X)  OffShell d_eta_217541(X) : Vertex V_1: OffShell d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268734,%eta_217537,%eps_85883}*gamma_{%\nu_268734,%gam_106201,%eta_217538}*d_{l_98900,%eta_217538}(p_2)_u*d_{j_98902,%gam_106201}(p_4)_u^(*)*mu_{i_98902,%eta_217537}(p_3)_u^(*)*mu_{k_98900,%eps_85883}(p_1)_u/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart d_eps_85920(X)  to  mu_eta_217587(X)  AntiPart d_alpha_108453(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268827,%gam_106241,%eps_85917}*gamma_{%\nu_268827,%gam_106242,%del_93111}*d_{j_98933,%del_93111}(p_4)_v*d_{l_98931,%gam_106242}(p_2)_v^(*)*mu_{i_98933,%gam_106241}(p_3)_u^(*)*mu_{k_98931,%eps_85917}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart d_eps_85920(X)  to  mu_eta_217587(X)  AntiPart OffShell d_eta_217602(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_268869,%eta_217599,%eps_85950}*gamma_{%\nu_268869,%gam_106286,%eps_85951}*d_{j_98940,%eps_85951}(p_4)_v*d_{l_98938,%gam_106286}(p_2)_v^(*)*mu_{k_98938,%eps_85950}(p_1)_u*mu_{i_98940,%eta_217599}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart d_eps_85920(X)  to  OffShell mu_beta_76055(X)  AntiPart d_gam_106315(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268918,%eta_217632,%eps_85997}*gamma_{%\nu_268918,%gam_106313,%del_93149}*d_{j_98951,%del_93149}(p_4)_v*d_{l_98949,%gam_106313}(p_2)_v^(*)*mu_{k_98949,%eps_85997}(p_1)_u*mu_{i_98951,%eta_217632}(p_3)_u^(*)/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart d_eps_85920(X)  to  OffShell mu_beta_76055(X)  AntiPart OffShell d_alpha_108481(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_268967,%eta_217667,%eps_86026}*gamma_{%\nu_268967,%gam_106340,%eta_217668}*d_{j_98958,%eta_217668}(p_4)_v*d_{l_98956,%gam_106340}(p_2)_v^(*)*mu_{i_98958,%eta_217667}(p_3)_u^(*)*mu_{k_98956,%eps_86026}(p_1)_u/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart OffShell d_del_93187(X)  to  mu_eps_86063(X)  AntiPart d_eta_217720(X)^(*) : Vertex V_1:AntiPart  OffShell d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_269062,%eta_217718,%eps_86060}*gamma_{%\nu_269062,%gam_106380,%gam_106381}*d_{l_98983,%gam_106380}(p_2)_v^(*)*d_{j_98985,%gam_106381}(p_4)_v*mu_{k_98983,%eps_86060}(p_1)_u*mu_{i_98985,%eta_217718}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart OffShell d_del_93187(X)  to  mu_eps_86063(X)  AntiPart OffShell d_eps_86090(X)^(*) : Vertex V_1:AntiPart  OffShell d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), : -1/6*i*e^2*gamma_{+%\nu_269095,%eta_217745,%eps_86086}*gamma_{%\nu_269095,%gam_106425,%del_93202}*d_{j_98992,%del_93202}(p_4)_v*d_{l_98990,%gam_106425}(p_2)_v^(*)*mu_{i_98992,%eta_217745}(p_3)_u^(*)*mu_{k_98990,%eps_86086}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart OffShell d_del_93187(X)  to  OffShell mu_alpha_108517(X)  AntiPart d_beta_76079(X)^(*) : Vertex V_1:AntiPart  OffShell d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269144,%eta_217779,%eps_86117}*gamma_{%\nu_269144,%gam_106452,%eta_217780}*d_{j_99003,%eta_217780}(p_4)_v*d_{l_99001,%gam_106452}(p_2)_v^(*)*mu_{k_99001,%eps_86117}(p_1)_u*mu_{i_99003,%eta_217779}(p_3)_u^(*)/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  mu_eps_85710(X)^(*)  AntiPart OffShell d_del_93187(X)  to  OffShell mu_alpha_108517(X)  AntiPart OffShell d_eta_217824(X)^(*) : Vertex V_1:AntiPart  OffShell d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269191,%eta_217822,%eps_86150}*gamma_{%\nu_269191,%gam_106479,%eps_86151}*d_{j_99010,%eps_86151}(p_4)_v*d_{l_99008,%gam_106479}(p_2)_v^(*)*mu_{i_99010,%eta_217822}(p_3)_u^(*)*mu_{k_99008,%eps_86150}(p_1)_u/(m_mu^2 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  d_eps_86193(X)^(*)  to  mu_eta_217864(X)  d_alpha_108545(X) : Vertex V_1:d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269274,%eta_217860,%eta_217861}*gamma_{%\nu_269274,%gam_106513,%del_93263}*d_{j_99033,%gam_106513}(p_4)_u^(*)*d_{l_99031,%del_93263}(p_2)_u*mu_{k_99031,%eta_217861}(p_1)_u*mu_{i_99033,%eta_217860}(p_3)_u^(*)/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  d_eps_86193(X)^(*)  to  mu_eta_217864(X)  OffShell d_alpha_108555(X) : Vertex V_1:d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269307,%eta_217909,%del_93293}*gamma_{%\nu_269307,%gam_106543,%eps_86201}*d_{j_99040,%gam_106543}(p_4)_u^(*)*d_{l_99038,%eps_86201}(p_2)_u*mu_{i_99040,%eta_217909}(p_3)_u^(*)*mu_{k_99038,%del_93293}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  d_eps_86193(X)^(*)  to  OffShell mu_alpha_108563(X)  d_beta_76097(X) : Vertex V_1:d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269356,%eta_217943,%del_93324}*gamma_{%\nu_269356,%gam_106570,%eps_86227}*d_{j_99051,%gam_106570}(p_4)_u^(*)*d_{l_99049,%eps_86227}(p_2)_u*mu_{k_99049,%del_93324}(p_1)_u*mu_{i_99051,%eta_217943}(p_3)_u^(*)/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  d_eps_86193(X)^(*)  to  OffShell mu_alpha_108563(X)  OffShell d_eta_217973(X) : Vertex V_1:d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269395,%eta_217971,%del_93355}*gamma_{%\nu_269395,%gam_106597,%eps_86256}*d_{j_99058,%gam_106597}(p_4)_u^(*)*d_{l_99056,%eps_86256}(p_2)_u*mu_{i_99058,%eta_217971}(p_3)_u^(*)*mu_{k_99056,%del_93355}(p_1)_u/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  OffShell d_eps_86284(X)^(*)  to  mu_eta_218001(X)  d_alpha_108589(X) : Vertex V_1: OffShell d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269488,%gam_106635,%del_93397}*gamma_{%\nu_269488,%gam_106636,%del_93398}*d_{j_99085,%gam_106636}(p_4)_u^(*)*d_{l_99083,%del_93398}(p_2)_u*mu_{i_99085,%gam_106635}(p_3)_u^(*)*mu_{k_99083,%del_93397}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  OffShell d_eps_86284(X)^(*)  to  mu_eta_218001(X)  OffShell d_eta_218016(X) : Vertex V_1: OffShell d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269530,%eta_218013,%del_93446}*gamma_{%\nu_269530,%gam_106680,%eps_86293}*d_{j_99092,%gam_106680}(p_4)_u^(*)*d_{l_99090,%eps_86293}(p_2)_u*mu_{i_99092,%eta_218013}(p_3)_u^(*)*mu_{k_99090,%del_93446}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  OffShell d_eps_86284(X)^(*)  to  OffShell mu_eta_218045(X)  d_alpha_108605(X) : Vertex V_1: OffShell d(X_2), d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269579,%eta_218043,%del_93478}*gamma_{%\nu_269579,%gam_106707,%eps_86322}*d_{j_99103,%gam_106707}(p_4)_u^(*)*d_{l_99101,%eps_86322}(p_2)_u*mu_{k_99101,%del_93478}(p_1)_u*mu_{i_99103,%eta_218043}(p_3)_u^(*)/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  OffShell d_eps_86284(X)^(*)  to  OffShell mu_eta_218045(X)  OffShell d_eps_86363(X) : Vertex V_1: OffShell d(X_2),  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269622,%eta_218071,%del_93525}*gamma_{%\nu_269622,%gam_106734,%eps_86360}*d_{l_99108,%eps_86360}(p_2)_u*d_{j_99110,%gam_106734}(p_4)_u^(*)*mu_{i_99110,%eta_218071}(p_3)_u^(*)*mu_{k_99108,%del_93525}(p_1)_u/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  AntiPart d_del_93568(X)  to  mu_eps_86389(X)  AntiPart d_eta_218111(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269720,%eta_218109,%del_93565}*gamma_{%\nu_269720,%gam_106774,%gam_106775}*d_{l_99139,%gam_106774}(p_2)_v^(*)*d_{j_99141,%gam_106775}(p_4)_v*mu_{i_99141,%eta_218109}(p_3)_u^(*)*mu_{k_99139,%del_93565}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  AntiPart d_del_93568(X)  to  mu_eps_86389(X)  AntiPart OffShell d_eps_86393(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269763,%eta_218136,%del_93604}*gamma_{%\nu_269763,%gam_106819,%del_93605}*d_{j_99148,%del_93605}(p_4)_v*d_{l_99146,%gam_106819}(p_2)_v^(*)*mu_{i_99148,%eta_218136}(p_3)_u^(*)*mu_{k_99146,%del_93604}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  AntiPart d_del_93568(X)  to  OffShell mu_alpha_108649(X)  AntiPart d_beta_76135(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269815,%eta_218170,%del_93657}*gamma_{%\nu_269815,%gam_106846,%eta_218171}*d_{j_99159,%eta_218171}(p_4)_v*d_{l_99157,%gam_106846}(p_2)_v^(*)*mu_{i_99159,%eta_218170}(p_3)_u^(*)*mu_{k_99157,%del_93657}(p_1)_u/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  AntiPart d_del_93568(X)  to  OffShell mu_alpha_108649(X)  AntiPart OffShell d_eta_218215(X)^(*) : Vertex V_1:AntiPart d(X_2), AntiPart  OffShell d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1),  OffShell mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269864,%eta_218213,%del_93692}*gamma_{%\nu_269864,%gam_106873,%eps_86409}*d_{j_99166,%eps_86409}(p_4)_v*d_{l_99164,%gam_106873}(p_2)_v^(*)*mu_{k_99164,%del_93692}(p_1)_u*mu_{i_99166,%eta_218213}(p_3)_u^(*)/(s_11 + (-2)*s_13 + s_33 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
Interaction:  OffShell mu_del_93265(X)^(*)  AntiPart OffShell d_gam_106908(X)  to  mu_del_93740(X)  AntiPart d_eps_86436(X)^(*) : Vertex V_1:AntiPart  OffShell d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0: OffShell mu(X_1), mu(X_3),  OffShell A(V_0), : -1/3*i*e^2*gamma_{+%\nu_269961,%eta_218249,%del_93736}*gamma_{%\nu_269961,%gam_106906,%del_93737}*d_{j_99193,%del_93737}(p_4)_v*d_{l_99191,%gam_106906}(p_2)_v^(*)*mu_{i_99193,%eta_218249}(p_3)_u^(*)*mu_{k_99191,%del_93736}(p_1)_u/(m_mu^2 + s_11 + (-2)*s_13 + reg_prop) : 1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
