Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  c_alpha_35706(X)^(*)  AntiPart c_beta_21986(X)  to  AntiPart OffShell A_\sigma_86713(X)  AntiPart OffShell A_\sigma_87271(X) : Vertex V_0:AntiPart c(X_2),  OffShell A(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1),  OffShell A(X_4),  OffShell c(V_1), : 4/9*i*e^2*(p_1_%\rho_85512*gamma_{%\sigma_87206,%eta_58883,%alpha_40671}*A_{i_31691,+%\sigma_87206}(p_3)^(*)*A_{j_31691,+%\rho_85512}(p_4)^(*)*c_{k_31689,%alpha_40671}(p_1)_u*c_{l_31689,%eta_58883}(p_2)_v^(*) + -1/2*p_4_%\nu_85115*gamma_{+%\nu_85115,%eta_58909,%eta_58910}*gamma_{%\rho_85512,%eta_58910,%alpha_40673}*gamma_{%\sigma_87206,%eta_58886,%eta_58909}*A_{i_31691,+%\sigma_87206}(p_3)^(*)*A_{j_31691,+%\rho_85512}(p_4)^(*)*c_{k_31689,%alpha_40673}(p_1)_u*c_{l_31689,%eta_58886}(p_2)_v^(*))/(s_23 + -1/2*s_33 + -1/2*reg_prop) : 16/81*e^4*(s_14*s_24 + (-2)*m_c^2*s_44 + -1/2*s_12*s_44)*(s_23 + -1/2*s_33 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_23 + -1/2*s_33 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + 8*s_24)/(s_23 + -1/2*s_33 + -1/2*reg_prop))/(s_23 + -1/2*s_33 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart c_beta_21986(X)  to  AntiPart OffShell A_\sigma_86713(X)  AntiPart OffShell A_\sigma_87271(X) : Vertex V_0:AntiPart c(X_2),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1),  OffShell A(X_3),  OffShell c(V_1), : -4/9*i*e^2*(p_2_%\rho_85537*gamma_{%\sigma_87242,%eta_58932,%alpha_40715}*A_{i_31691,+%\sigma_87242}(p_3)^(*)*A_{j_31691,+%\rho_85537}(p_4)^(*)*c_{k_31689,%alpha_40715}(p_1)_u*c_{l_31689,%eta_58932}(p_2)_v^(*) + -1/2*p_4_%\mu_85601*gamma_{+%\mu_85601,%eta_58964,%eta_58965}*gamma_{%\rho_85537,%eta_58935,%eta_58964}*gamma_{%\sigma_87242,%eta_58965,%alpha_40717}*A_{i_31691,+%\sigma_87242}(p_3)^(*)*A_{j_31691,+%\rho_85537}(p_4)^(*)*c_{k_31689,%alpha_40717}(p_1)_u*c_{l_31689,%eta_58935}(p_2)_v^(*))/(s_13 + -1/2*s_33 + -1/2*reg_prop) : 16/81*e^4*(s_14*s_24 + (-2)*m_c^2*s_44 + -1/2*s_12*s_44)*(s_13 + -1/2*s_33 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*s_33 + -1/2*reg_prop) + -1/2*i*e^2*m_c^2*(s_14 + 2*s_24)/(s_13 + -1/2*s_33 + -1/2*reg_prop))/(s_13 + -1/2*s_33 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  A_\mu_85749(X) : Vertex V_0:AntiPart  OffShell c(X_2), A(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_4),  OffShell c(V_1), : 4/9*i*e^2*(m_c*gamma_{%\mu_85695,%eta_59435,%alpha_41010}*gamma_{%\tau_87029,%eta_59373,%eta_59435}*A_{i_31721,+%\tau_87029}(p_3)^(*)*A_{j_31721,+%\mu_85695}(p_4)^(*)*c_{k_31719,%alpha_41010}(p_1)_u*c_{l_31719,%eta_59373}(p_2)_v^(*) + -p_2_%\tau_87031*gamma_{%\mu_85695,%eta_59437,%alpha_41013}*gamma_{%\tau_87029,%eta_59381,%eta_59436}*gamma_{+%\tau_87031,%eta_59436,%eta_59437}*A_{i_31721,+%\tau_87029}(p_3)^(*)*A_{j_31721,+%\mu_85695}(p_4)^(*)*c_{k_31719,%alpha_41013}(p_1)_u*c_{l_31719,%eta_59381}(p_2)_v^(*) + p_3_%\tau_87031*gamma_{%\mu_85695,%eta_59439,%alpha_41014}*gamma_{%\tau_87029,%eta_59384,%eta_59438}*gamma_{+%\tau_87031,%eta_59438,%eta_59439}*A_{i_31721,+%\tau_87029}(p_3)^(*)*A_{j_31721,+%\mu_85695}(p_4)^(*)*c_{k_31719,%alpha_41014}(p_1)_u*c_{l_31719,%eta_59384}(p_2)_v^(*))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) : 64/81*e^4*s_13*s_23*(m_c^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  A_\mu_85749(X) : Vertex V_0:AntiPart  OffShell c(X_2), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_3),  OffShell c(V_1), : 4/9*i*e^2*(p_1_%\tau_87079*gamma_{%\mu_85722,%eta_59461,%alpha_41053}*A_{i_31721,+%\tau_87079}(p_3)^(*)*A_{j_31721,+%\mu_85722}(p_4)^(*)*c_{k_31719,%alpha_41053}(p_1)_u*c_{l_31719,%eta_59461}(p_2)_v^(*) + -1/2*p_3_%\lambda_98826*gamma_{+%\lambda_98826,%eta_59487,%eta_59488}*gamma_{%\mu_85722,%eta_59464,%eta_59487}*gamma_{%\tau_87079,%eta_59488,%alpha_41055}*A_{i_31721,+%\tau_87079}(p_3)^(*)*A_{j_31721,+%\mu_85722}(p_4)^(*)*c_{k_31719,%alpha_41055}(p_1)_u*c_{l_31719,%eta_59464}(p_2)_v^(*))/(s_13 + -1/2*reg_prop) : 16/81*e^4*s_13*s_23*(s_13 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  OffShell A_\sigma_87486(X) : Vertex V_1:AntiPart  OffShell c(X_2),  OffShell A(X_4), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1), A(X_3),  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\tau_87393*gamma_{%\lambda_98993,%eta_60197,%alpha_41483}*A_{j_31751,+%\lambda_98993}(p_4)^(*)*A_{i_31751,+%\tau_87393}(p_3)^(*)*c_{k_31749,%alpha_41483}(p_1)_u*c_{l_31749,%eta_60197}(p_2)_v^(*) + -1/2*p_3_%\sigma_87471*gamma_{%\lambda_98993,%eta_60200,%eta_60221}*gamma_{+%\sigma_87471,%eta_60221,%eta_60222}*gamma_{%\tau_87393,%eta_60222,%alpha_41485}*A_{j_31751,+%\lambda_98993}(p_4)^(*)*A_{i_31751,+%\tau_87393}(p_3)^(*)*c_{k_31749,%alpha_41485}(p_1)_u*c_{l_31749,%eta_60200}(p_2)_v^(*))/(s_13 + -1/2*reg_prop) : 16/81*e^4*s_13*s_23*(s_13 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  OffShell A_\sigma_87486(X) : Vertex V_1:AntiPart  OffShell c(X_2), A(X_3), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1),  OffShell A(X_4),  OffShell c(V_0), : 4/9*i*e^2*(m_c*gamma_{%\lambda_99020,%eta_60302,%alpha_41512}*gamma_{%\tau_87419,%eta_60240,%eta_60302}*A_{j_31751,+%\lambda_99020}(p_4)^(*)*A_{i_31751,+%\tau_87419}(p_3)^(*)*c_{k_31749,%alpha_41512}(p_1)_u*c_{l_31749,%eta_60240}(p_2)_v^(*) + -p_2_%\rho_85765*gamma_{%\lambda_99020,%eta_60304,%alpha_41515}*gamma_{+%\rho_85765,%eta_60303,%eta_60304}*gamma_{%\tau_87419,%eta_60248,%eta_60303}*A_{j_31751,+%\lambda_99020}(p_4)^(*)*A_{i_31751,+%\tau_87419}(p_3)^(*)*c_{k_31749,%alpha_41515}(p_1)_u*c_{l_31749,%eta_60248}(p_2)_v^(*) + p_3_%\rho_85765*gamma_{%\lambda_99020,%eta_60306,%alpha_41516}*gamma_{+%\rho_85765,%eta_60305,%eta_60306}*gamma_{%\tau_87419,%eta_60251,%eta_60305}*A_{j_31751,+%\lambda_99020}(p_4)^(*)*A_{i_31751,+%\tau_87419}(p_3)^(*)*c_{k_31749,%alpha_41516}(p_1)_u*c_{l_31749,%eta_60251}(p_2)_v^(*))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) : 64/81*e^4*s_13*s_23*(m_c^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  AntiPart A_\lambda_99314(X) : Vertex V_1:AntiPart  OffShell c(X_2), A(X_4), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1), A(X_3),  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\tau_87647*gamma_{%\tau_87649,%eta_60997,%alpha_41920}*A_{j_31781,+%\tau_87649}(p_4)^(*)*A_{i_31781,+%\tau_87647}(p_3)^(*)*c_{k_31779,%alpha_41920}(p_1)_u*c_{l_31779,%eta_60997}(p_2)_v^(*) + -1/2*p_3_%\lambda_99291*gamma_{+%\lambda_99291,%eta_61023,%eta_61024}*gamma_{%\tau_87647,%eta_61024,%alpha_41922}*gamma_{%\tau_87649,%eta_61000,%eta_61023}*A_{j_31781,+%\tau_87649}(p_4)^(*)*A_{i_31781,+%\tau_87647}(p_3)^(*)*c_{k_31779,%alpha_41922}(p_1)_u*c_{l_31779,%eta_61000}(p_2)_v^(*))/(s_13 + -1/2*reg_prop) : 16/81*e^4*s_13*s_23*(s_13 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  AntiPart A_\lambda_99314(X) : Vertex V_1:AntiPart  OffShell c(X_2), A(X_3), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1), A(X_4),  OffShell c(V_0), : -4/9*i*e^2*(p_2_%\sigma_87591*gamma_{+%\sigma_87591,%eta_61104,%eta_61105}*gamma_{%\tau_87701,%eta_61048,%eta_61104}*gamma_{%\tau_87703,%eta_61105,%alpha_41961}*A_{j_31781,+%\tau_87703}(p_4)^(*)*A_{i_31781,+%\tau_87701}(p_3)^(*)*c_{k_31779,%alpha_41961}(p_1)_u*c_{l_31779,%eta_61048}(p_2)_v^(*) + -p_3_%\sigma_87591*gamma_{+%\sigma_87591,%eta_61106,%eta_61107}*gamma_{%\tau_87701,%eta_61051,%eta_61106}*gamma_{%\tau_87703,%eta_61107,%alpha_41962}*A_{j_31781,+%\tau_87703}(p_4)^(*)*A_{i_31781,+%\tau_87701}(p_3)^(*)*c_{k_31779,%alpha_41962}(p_1)_u*c_{l_31779,%eta_61051}(p_2)_v^(*) + -m_c*gamma_{%\tau_87701,%eta_61054,%eta_61108}*gamma_{%\tau_87703,%eta_61108,%alpha_41963}*A_{j_31781,+%\tau_87703}(p_4)^(*)*A_{i_31781,+%\tau_87701}(p_3)^(*)*c_{k_31779,%alpha_41963}(p_1)_u*c_{l_31779,%eta_61054}(p_2)_v^(*))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) : 64/81*e^4*s_13*s_23*(m_c^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  AntiPart OffShell A_\tau_88152(X) : Vertex V_0:AntiPart  OffShell c(X_2), A(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1),  OffShell A(X_4),  OffShell c(V_1), : 4/9*i*e^2*(m_c*gamma_{%\mu_86066,%eta_61879,%alpha_42382}*gamma_{%\tau_88077,%eta_61817,%eta_61879}*A_{i_31811,+%\tau_88077}(p_3)^(*)*A_{j_31811,+%\mu_86066}(p_4)^(*)*c_{l_31809,%eta_61817}(p_2)_v^(*)*c_{k_31809,%alpha_42382}(p_1)_u + -p_2_%\tau_88079*gamma_{%\mu_86066,%eta_61881,%alpha_42385}*gamma_{%\tau_88077,%eta_61825,%eta_61880}*gamma_{+%\tau_88079,%eta_61880,%eta_61881}*A_{i_31811,+%\tau_88077}(p_3)^(*)*A_{j_31811,+%\mu_86066}(p_4)^(*)*c_{l_31809,%eta_61825}(p_2)_v^(*)*c_{k_31809,%alpha_42385}(p_1)_u + p_3_%\tau_88079*gamma_{%\mu_86066,%eta_61883,%alpha_42386}*gamma_{%\tau_88077,%eta_61828,%eta_61882}*gamma_{+%\tau_88079,%eta_61882,%eta_61883}*A_{i_31811,+%\tau_88077}(p_3)^(*)*A_{j_31811,+%\mu_86066}(p_4)^(*)*c_{l_31809,%eta_61828}(p_2)_v^(*)*c_{k_31809,%alpha_42386}(p_1)_u)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) : 64/81*e^4*s_13*s_23*(m_c^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  A_\tau_87104(X)  AntiPart OffShell A_\tau_88152(X) : Vertex V_0:AntiPart  OffShell c(X_2),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_3),  OffShell c(V_1), : 4/9*i*e^2*(p_1_%\tau_88127*gamma_{%\mu_86093,%eta_61907,%alpha_42421}*A_{i_31811,+%\tau_88127}(p_3)^(*)*A_{j_31811,+%\mu_86093}(p_4)^(*)*c_{l_31809,%eta_61907}(p_2)_v^(*)*c_{k_31809,%alpha_42421}(p_1)_u + -1/2*p_3_%\lambda_99467*gamma_{+%\lambda_99467,%eta_61933,%eta_61934}*gamma_{%\mu_86093,%eta_61910,%eta_61933}*gamma_{%\tau_88127,%eta_61934,%alpha_42423}*A_{i_31811,+%\tau_88127}(p_3)^(*)*A_{j_31811,+%\mu_86093}(p_4)^(*)*c_{l_31809,%eta_61910}(p_2)_v^(*)*c_{k_31809,%alpha_42423}(p_1)_u)/(s_13 + -1/2*reg_prop) : 16/81*e^4*s_13*s_23*(s_13 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  OffShell A_\nu_85517(X)  A_\rho_86114(X) : Vertex V_0:AntiPart  OffShell c(X_2), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1),  OffShell A(X_3),  OffShell c(V_1), : 4/9*i*e^2*(p_1_%\nu_85449*gamma_{%\rho_86058,%eta_62635,%alpha_42835}*A_{j_31841,+%\rho_86058}(p_4)^(*)*A_{i_31841,+%\nu_85449}(p_3)^(*)*c_{l_31839,%eta_62635}(p_2)_v^(*)*c_{k_31839,%alpha_42835}(p_1)_u + -1/2*p_3_%\nu_85451*gamma_{%\nu_85449,%eta_62662,%alpha_42837}*gamma_{+%\nu_85451,%eta_62661,%eta_62662}*gamma_{%\rho_86058,%eta_62638,%eta_62661}*A_{j_31841,+%\rho_86058}(p_4)^(*)*A_{i_31841,+%\nu_85449}(p_3)^(*)*c_{l_31839,%eta_62638}(p_2)_v^(*)*c_{k_31839,%alpha_42837}(p_1)_u)/(s_13 + -1/2*s_33 + -1/2*reg_prop) : 16/81*e^4*(s_13*s_23 + (-2)*m_c^2*s_33 + -1/2*s_12*s_33)*(s_13 + -1/2*s_33 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*s_33 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*s_33 + -1/2*reg_prop))/(s_13 + -1/2*s_33 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  OffShell A_\nu_85517(X)  A_\rho_86114(X) : Vertex V_0:AntiPart  OffShell c(X_2),  OffShell A(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_4),  OffShell c(V_1), : -4/9*i*e^2*(p_2_%\mu_86316*gamma_{+%\mu_86316,%eta_62742,%eta_62743}*gamma_{%\nu_85490,%eta_62686,%eta_62742}*gamma_{%\rho_86087,%eta_62743,%alpha_42876}*A_{j_31841,+%\rho_86087}(p_4)^(*)*A_{i_31841,+%\nu_85490}(p_3)^(*)*c_{l_31839,%eta_62686}(p_2)_v^(*)*c_{k_31839,%alpha_42876}(p_1)_u + -p_3_%\mu_86316*gamma_{+%\mu_86316,%eta_62744,%eta_62745}*gamma_{%\nu_85490,%eta_62689,%eta_62744}*gamma_{%\rho_86087,%eta_62745,%alpha_42877}*A_{j_31841,+%\rho_86087}(p_4)^(*)*A_{i_31841,+%\nu_85490}(p_3)^(*)*c_{l_31839,%eta_62689}(p_2)_v^(*)*c_{k_31839,%alpha_42877}(p_1)_u + -m_c*gamma_{%\nu_85490,%eta_62692,%eta_62746}*gamma_{%\rho_86087,%eta_62746,%alpha_42878}*A_{j_31841,+%\rho_86087}(p_4)^(*)*A_{i_31841,+%\nu_85490}(p_3)^(*)*c_{l_31839,%eta_62692}(p_2)_v^(*)*c_{k_31839,%alpha_42878}(p_1)_u)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 64/81*e^4*(s_13*s_23 + (-2)*m_c^2*s_33 + -1/2*s_12*s_33)*(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  OffShell A_\nu_85517(X)  OffShell A_\tau_88534(X) : Vertex V_1:AntiPart  OffShell c(X_2),  OffShell A(X_4), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1),  OffShell A(X_3),  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\nu_85745*gamma_{%\mu_86493,%eta_63461,%alpha_43307}*A_{i_31871,+%\nu_85745}(p_3)^(*)*A_{j_31871,+%\mu_86493}(p_4)^(*)*c_{l_31869,%eta_63461}(p_2)_v^(*)*c_{k_31869,%alpha_43307}(p_1)_u + -1/2*p_3_%\tau_88513*gamma_{%\mu_86493,%eta_63464,%eta_63485}*gamma_{%\nu_85745,%eta_63486,%alpha_43309}*gamma_{+%\tau_88513,%eta_63485,%eta_63486}*A_{i_31871,+%\nu_85745}(p_3)^(*)*A_{j_31871,+%\mu_86493}(p_4)^(*)*c_{l_31869,%eta_63464}(p_2)_v^(*)*c_{k_31869,%alpha_43309}(p_1)_u)/(s_13 + -1/2*s_33 + -1/2*reg_prop) : 16/81*e^4*(s_13*s_23 + (-2)*m_c^2*s_33 + -1/2*s_12*s_33)*(s_13 + -1/2*s_33 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + 1/2*s_12)/(s_13 + -1/2*s_33 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_13 + 8*s_23)/(s_13 + -1/2*s_33 + -1/2*reg_prop))/(s_13 + -1/2*s_33 + -1/2*reg_prop)
Interaction:  c_alpha_35706(X)^(*)  AntiPart OffShell c_del_32062(X)  to  OffShell A_\nu_85517(X)  OffShell A_\tau_88534(X) : Vertex V_1:AntiPart  OffShell c(X_2),  OffShell A(X_3), AntiPart  OffShell c(V_1), Vertex V_0:c(X_1),  OffShell A(X_4),  OffShell c(V_0), : 4/9*i*e^2*(m_c*gamma_{%\mu_86520,%eta_63566,%alpha_43336}*gamma_{%\nu_85772,%eta_63504,%eta_63566}*A_{i_31871,+%\nu_85772}(p_3)^(*)*A_{j_31871,+%\mu_86520}(p_4)^(*)*c_{l_31869,%eta_63504}(p_2)_v^(*)*c_{k_31869,%alpha_43336}(p_1)_u + -p_2_%\lambda_99750*gamma_{+%\lambda_99750,%eta_63567,%eta_63568}*gamma_{%\mu_86520,%eta_63568,%alpha_43339}*gamma_{%\nu_85772,%eta_63512,%eta_63567}*A_{i_31871,+%\nu_85772}(p_3)^(*)*A_{j_31871,+%\mu_86520}(p_4)^(*)*c_{l_31869,%eta_63512}(p_2)_v^(*)*c_{k_31869,%alpha_43339}(p_1)_u + p_3_%\lambda_99750*gamma_{+%\lambda_99750,%eta_63569,%eta_63570}*gamma_{%\mu_86520,%eta_63570,%alpha_43340}*gamma_{%\nu_85772,%eta_63515,%eta_63569}*A_{i_31871,+%\nu_85772}(p_3)^(*)*A_{j_31871,+%\mu_86520}(p_4)^(*)*c_{l_31869,%eta_63515}(p_2)_v^(*)*c_{k_31869,%alpha_43340}(p_1)_u)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 64/81*e^4*(s_13*s_23 + (-2)*m_c^2*s_33 + -1/2*s_12*s_33)*(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 128/81*i*e^2*m_c*(i*e^2*m_c*(m_c^2 + -1/4*s_12)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_c*(s_13 + -s_23)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 2/81*i*e^2*(i*e^2*(64*m_c^2 + (-16)*s_12)*s_22/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 64*i*e^2*m_c^2*(s_12 + -s_22)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_c^2*s_23)/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
