Interaction:  d_gam_189(X)^(*)  AntiPart d_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{%\sigma_325,%gam_186,%del_182}*gamma_{+%\sigma_325,%gam_187,%eps_82}*d_{k_71,%eps_82}(p_1)_u*d_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  OffShell A_\sigma_104035(X) : Vertex V_0:AntiPart  OffShell d(X_1),  OffShell A(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2),  OffShell A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_132622,%gam_152470,%del_90111}*gamma_{%\tau_105439,%gam_152405,%gam_152470}*A_{i_34837,+%\tau_105439}(p_3)^(*)*A_{j_34837,+%\nu_132622}(p_4)^(*)*d_{l_34835,%del_90111}(p_2)_u*d_{k_34835,%gam_152405}(p_1)_v^(*) + -p_1_%\sigma_104010*gamma_{%\nu_132622,%gam_152472,%del_90114}*gamma_{+%\sigma_104010,%gam_152471,%gam_152472}*gamma_{%\tau_105439,%gam_152413,%gam_152471}*A_{i_34837,+%\tau_105439}(p_3)^(*)*A_{j_34837,+%\nu_132622}(p_4)^(*)*d_{l_34835,%del_90114}(p_2)_u*d_{k_34835,%gam_152413}(p_1)_v^(*) + p_3_%\sigma_104010*gamma_{%\nu_132622,%gam_152474,%del_90115}*gamma_{+%\sigma_104010,%gam_152473,%gam_152474}*gamma_{%\tau_105439,%gam_152416,%gam_152473}*A_{i_34837,+%\tau_105439}(p_3)^(*)*A_{j_34837,+%\nu_132622}(p_4)^(*)*d_{l_34835,%del_90115}(p_2)_u*d_{k_34835,%gam_152416}(p_1)_v^(*))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) : -1/648*e^4*s_11*(64*m_d^2 + (-16)*s_12)*(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)^(-2) + -8/81*i*e^2*m_d*(i*e^2*m_d*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + 1/4*i*e^2*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  OffShell A_\sigma_104035(X) : Vertex V_0:AntiPart  OffShell d(X_1),  OffShell A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2),  OffShell A(X_3),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_132668,%gam_152495,%gam_152560}*gamma_{%\tau_105472,%gam_152560,%del_90196}*A_{i_34837,+%\tau_105472}(p_3)^(*)*A_{j_34837,+%\nu_132668}(p_4)^(*)*d_{l_34835,%del_90196}(p_2)_u*d_{k_34835,%gam_152495}(p_1)_v^(*) + p_2_%\rho_99328*gamma_{%\nu_132668,%gam_152503,%gam_152561}*gamma_{+%\rho_99328,%gam_152561,%gam_152562}*gamma_{%\tau_105472,%gam_152562,%del_90199}*A_{i_34837,+%\tau_105472}(p_3)^(*)*A_{j_34837,+%\nu_132668}(p_4)^(*)*d_{l_34835,%del_90199}(p_2)_u*d_{k_34835,%gam_152503}(p_1)_v^(*) + -p_3_%\rho_99328*gamma_{%\nu_132668,%gam_152506,%gam_152563}*gamma_{+%\rho_99328,%gam_152563,%gam_152564}*gamma_{%\tau_105472,%gam_152564,%del_90200}*A_{i_34837,+%\tau_105472}(p_3)^(*)*A_{j_34837,+%\nu_132668}(p_4)^(*)*d_{l_34835,%del_90200}(p_2)_u*d_{k_34835,%gam_152506}(p_1)_v^(*))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 4/81*e^4*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*m_d*(s_12 + -s_22)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/648*i*e^2*(i*e^2*(64*m_d^2 + (-16)*s_12)*s_22/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_d^2*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  AntiPart A_\lambda_96234(X) : Vertex V_1:AntiPart  OffShell d(X_1), A(X_4), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_2),  OffShell A(X_3),  OffShell d(V_0), : 1/9*i*e^2*(m_d*gamma_{%\tau_105761,%gam_153660,%del_90805}*gamma_{%\tau_105762,%gam_153595,%gam_153660}*A_{j_34865,+%\tau_105762}(p_4)^(*)*A_{i_34865,+%\tau_105761}(p_3)^(*)*d_{k_34863,%gam_153595}(p_1)_v^(*)*d_{l_34863,%del_90805}(p_2)_u + p_2_%\lambda_96207*gamma_{+%\lambda_96207,%gam_153661,%gam_153662}*gamma_{%\tau_105761,%gam_153662,%del_90808}*gamma_{%\tau_105762,%gam_153603,%gam_153661}*A_{j_34865,+%\tau_105762}(p_4)^(*)*A_{i_34865,+%\tau_105761}(p_3)^(*)*d_{k_34863,%gam_153603}(p_1)_v^(*)*d_{l_34863,%del_90808}(p_2)_u + -p_3_%\lambda_96207*gamma_{+%\lambda_96207,%gam_153663,%gam_153664}*gamma_{%\tau_105761,%gam_153664,%del_90809}*gamma_{%\tau_105762,%gam_153606,%gam_153663}*A_{j_34865,+%\tau_105762}(p_4)^(*)*A_{i_34865,+%\tau_105761}(p_3)^(*)*d_{k_34863,%gam_153606}(p_1)_v^(*)*d_{l_34863,%del_90809}(p_2)_u)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 4/81*e^4*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*m_d*(s_12 + -s_22)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/648*i*e^2*(i*e^2*(64*m_d^2 + (-16)*s_12)*s_22/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_d^2*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  AntiPart A_\lambda_96234(X) : Vertex V_1:AntiPart  OffShell d(X_1),  OffShell A(X_3), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_2), A(X_4),  OffShell d(V_0), : -1/9*i*e^2*(p_1_%\sigma_104209*gamma_{+%\sigma_104209,%gam_153750,%gam_153751}*gamma_{%\tau_105813,%gam_153691,%gam_153750}*gamma_{%\tau_105814,%gam_153751,%del_90900}*A_{j_34865,+%\tau_105814}(p_4)^(*)*A_{i_34865,+%\tau_105813}(p_3)^(*)*d_{k_34863,%gam_153691}(p_1)_v^(*)*d_{l_34863,%del_90900}(p_2)_u + -p_3_%\sigma_104209*gamma_{+%\sigma_104209,%gam_153752,%gam_153753}*gamma_{%\tau_105813,%gam_153694,%gam_153752}*gamma_{%\tau_105814,%gam_153753,%del_90901}*A_{j_34865,+%\tau_105814}(p_4)^(*)*A_{i_34865,+%\tau_105813}(p_3)^(*)*d_{k_34863,%gam_153694}(p_1)_v^(*)*d_{l_34863,%del_90901}(p_2)_u + -m_d*gamma_{%\tau_105813,%gam_153697,%gam_153754}*gamma_{%\tau_105814,%gam_153754,%del_90902}*A_{j_34865,+%\tau_105814}(p_4)^(*)*A_{i_34865,+%\tau_105813}(p_3)^(*)*d_{k_34863,%gam_153697}(p_1)_v^(*)*d_{l_34863,%del_90902}(p_2)_u)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) : -1/648*e^4*s_11*(64*m_d^2 + (-16)*s_12)*(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)^(-2) + -8/81*i*e^2*m_d*(i*e^2*m_d*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + 1/4*i*e^2*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  AntiPart OffShell A_\tau_106363(X) : Vertex V_0:AntiPart  OffShell d(X_1),  OffShell A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2),  OffShell A(X_3),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_133153,%gam_154767,%gam_154832}*gamma_{%\tau_106292,%gam_154832,%del_91486}*A_{i_34893,+%\tau_106292}(p_3)^(*)*A_{j_34893,+%\nu_133153}(p_4)^(*)*d_{l_34891,%del_91486}(p_2)_u*d_{k_34891,%gam_154767}(p_1)_v^(*) + p_2_%\tau_106293*gamma_{%\nu_133153,%gam_154775,%gam_154833}*gamma_{%\tau_106292,%gam_154834,%del_91489}*gamma_{+%\tau_106293,%gam_154833,%gam_154834}*A_{i_34893,+%\tau_106292}(p_3)^(*)*A_{j_34893,+%\nu_133153}(p_4)^(*)*d_{l_34891,%del_91489}(p_2)_u*d_{k_34891,%gam_154775}(p_1)_v^(*) + -p_3_%\tau_106293*gamma_{%\nu_133153,%gam_154778,%gam_154835}*gamma_{%\tau_106292,%gam_154836,%del_91490}*gamma_{+%\tau_106293,%gam_154835,%gam_154836}*A_{i_34893,+%\tau_106292}(p_3)^(*)*A_{j_34893,+%\nu_133153}(p_4)^(*)*d_{l_34891,%del_91490}(p_2)_u*d_{k_34891,%gam_154778}(p_1)_v^(*))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 4/81*e^4*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + i*e^2*m_d*(s_12 + -s_22)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/648*i*e^2*(i*e^2*(64*m_d^2 + (-16)*s_12)*s_22/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_d^2*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  OffShell A_\tau_105092(X)  AntiPart OffShell A_\tau_106363(X) : Vertex V_0:AntiPart  OffShell d(X_1),  OffShell A(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2),  OffShell A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_133199,%gam_154922,%del_91571}*gamma_{%\tau_106336,%gam_154857,%gam_154922}*A_{i_34893,+%\tau_106336}(p_3)^(*)*A_{j_34893,+%\nu_133199}(p_4)^(*)*d_{l_34891,%del_91571}(p_2)_u*d_{k_34891,%gam_154857}(p_1)_v^(*) + -p_1_%\lambda_96409*gamma_{+%\lambda_96409,%gam_154923,%gam_154924}*gamma_{%\nu_133199,%gam_154924,%del_91574}*gamma_{%\tau_106336,%gam_154865,%gam_154923}*A_{i_34893,+%\tau_106336}(p_3)^(*)*A_{j_34893,+%\nu_133199}(p_4)^(*)*d_{l_34891,%del_91574}(p_2)_u*d_{k_34891,%gam_154865}(p_1)_v^(*) + p_3_%\lambda_96409*gamma_{+%\lambda_96409,%gam_154925,%gam_154926}*gamma_{%\nu_133199,%gam_154926,%del_91575}*gamma_{%\tau_106336,%gam_154868,%gam_154925}*A_{i_34893,+%\tau_106336}(p_3)^(*)*A_{j_34893,+%\nu_133199}(p_4)^(*)*d_{l_34891,%del_91575}(p_2)_u*d_{k_34891,%gam_154868}(p_1)_v^(*))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) : -1/648*e^4*s_11*(64*m_d^2 + (-16)*s_12)*(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)^(-2) + -8/81*i*e^2*m_d*(i*e^2*m_d*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + 1/4*i*e^2*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  AntiPart A_\nu_133637(X)  A_\rho_99702(X) : Vertex V_0:AntiPart  OffShell d(X_1), A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2), A(X_3),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_133527,%gam_155990,%del_92148}*gamma_{%\rho_99649,%gam_155925,%gam_155990}*A_{i_34921,+%\nu_133527}(p_3)^(*)*A_{j_34921,+%\rho_99649}(p_4)^(*)*d_{l_34919,%del_92148}(p_2)_u*d_{k_34919,%gam_155925}(p_1)_v^(*) + p_2_%\nu_133528*gamma_{%\nu_133527,%gam_155992,%del_92151}*gamma_{+%\nu_133528,%gam_155991,%gam_155992}*gamma_{%\rho_99649,%gam_155933,%gam_155991}*A_{i_34921,+%\nu_133527}(p_3)^(*)*A_{j_34921,+%\rho_99649}(p_4)^(*)*d_{l_34919,%del_92151}(p_2)_u*d_{k_34919,%gam_155933}(p_1)_v^(*) + -p_3_%\nu_133528*gamma_{%\nu_133527,%gam_155994,%del_92152}*gamma_{+%\nu_133528,%gam_155993,%gam_155994}*gamma_{%\rho_99649,%gam_155936,%gam_155993}*A_{i_34921,+%\nu_133527}(p_3)^(*)*A_{j_34921,+%\rho_99649}(p_4)^(*)*d_{l_34919,%del_92152}(p_2)_u*d_{k_34919,%gam_155936}(p_1)_v^(*))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) : 4/81*e^4*s_13*s_23*(m_d^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + i*e^2*m_d*(s_12 + -s_22)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + 1/648*i*e^2*(i*e^2*(64*m_d^2 + (-16)*s_12)*s_22/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_d^2*s_23)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  AntiPart A_\nu_133637(X)  A_\rho_99702(X) : Vertex V_0:AntiPart  OffShell d(X_1), A(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2), A(X_4),  OffShell d(V_1), : -1/9*i*e^2*(p_1_%\mu_94286*gamma_{+%\mu_94286,%gam_156080,%gam_156081}*gamma_{%\nu_133592,%gam_156021,%gam_156080}*gamma_{%\rho_99675,%gam_156081,%del_92243}*A_{i_34921,+%\nu_133592}(p_3)^(*)*A_{j_34921,+%\rho_99675}(p_4)^(*)*d_{l_34919,%del_92243}(p_2)_u*d_{k_34919,%gam_156021}(p_1)_v^(*) + -p_3_%\mu_94286*gamma_{+%\mu_94286,%gam_156082,%gam_156083}*gamma_{%\nu_133592,%gam_156024,%gam_156082}*gamma_{%\rho_99675,%gam_156083,%del_92244}*A_{i_34921,+%\nu_133592}(p_3)^(*)*A_{j_34921,+%\rho_99675}(p_4)^(*)*d_{l_34919,%del_92244}(p_2)_u*d_{k_34919,%gam_156024}(p_1)_v^(*) + -m_d*gamma_{%\nu_133592,%gam_156027,%gam_156084}*gamma_{%\rho_99675,%gam_156084,%del_92245}*A_{i_34921,+%\nu_133592}(p_3)^(*)*A_{j_34921,+%\rho_99675}(p_4)^(*)*d_{l_34919,%del_92245}(p_2)_u*d_{k_34919,%gam_156027}(p_1)_v^(*))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) : -1/648*e^4*s_11*(64*m_d^2 + (-16)*s_12)*(m_d^2 + -s_11 + 2*s_13 + -reg_prop)^(-2) + -8/81*i*e^2*m_d*(i*e^2*m_d*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -4/81*i*e^2*(i*e^2*s_13*s_23/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + 4*i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  AntiPart A_\nu_133637(X)  OffShell A_\tau_106810(X) : Vertex V_0:AntiPart  OffShell d(X_1),  OffShell A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2), A(X_3),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_134035,%gam_157119,%gam_157184}*gamma_{%\nu_134036,%gam_157184,%del_92851}*A_{j_34949,+%\nu_134035}(p_4)^(*)*A_{i_34949,+%\nu_134036}(p_3)^(*)*d_{l_34947,%del_92851}(p_2)_u*d_{k_34947,%gam_157119}(p_1)_v^(*) + p_2_%\tau_106785*gamma_{%\nu_134035,%gam_157127,%gam_157185}*gamma_{%\nu_134036,%gam_157186,%del_92854}*gamma_{+%\tau_106785,%gam_157185,%gam_157186}*A_{j_34949,+%\nu_134035}(p_4)^(*)*A_{i_34949,+%\nu_134036}(p_3)^(*)*d_{l_34947,%del_92854}(p_2)_u*d_{k_34947,%gam_157127}(p_1)_v^(*) + -p_3_%\tau_106785*gamma_{%\nu_134035,%gam_157130,%gam_157187}*gamma_{%\nu_134036,%gam_157188,%del_92855}*gamma_{+%\tau_106785,%gam_157187,%gam_157188}*A_{j_34949,+%\nu_134035}(p_4)^(*)*A_{i_34949,+%\nu_134036}(p_3)^(*)*d_{l_34947,%del_92855}(p_2)_u*d_{k_34947,%gam_157130}(p_1)_v^(*))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) : 4/81*e^4*s_13*s_23*(m_d^2 + -s_22 + 2*s_23 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + i*e^2*m_d*(s_12 + -s_22)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + 1/648*i*e^2*(i*e^2*(64*m_d^2 + (-16)*s_12)*s_22/(m_d^2 + -s_22 + 2*s_23 + -reg_prop) + 32*i*e^2*(s_13*s_22 + (-4)*m_d^2*s_23)/(m_d^2 + -s_22 + 2*s_23 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -reg_prop)
Interaction:  AntiPart OffShell d_gam_132904(X)  OffShell d_del_87068(X)^(*)  to  AntiPart A_\nu_133637(X)  OffShell A_\tau_106810(X) : Vertex V_0:AntiPart  OffShell d(X_1), A(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_2),  OffShell A(X_4),  OffShell d(V_1), : -1/9*i*e^2*(p_1_%\lambda_96680*gamma_{+%\lambda_96680,%gam_157274,%gam_157275}*gamma_{%\nu_134111,%gam_157215,%gam_157274}*gamma_{%\nu_134112,%gam_157275,%del_92946}*A_{j_34949,+%\nu_134112}(p_4)^(*)*A_{i_34949,+%\nu_134111}(p_3)^(*)*d_{l_34947,%del_92946}(p_2)_u*d_{k_34947,%gam_157215}(p_1)_v^(*) + -p_3_%\lambda_96680*gamma_{+%\lambda_96680,%gam_157276,%gam_157277}*gamma_{%\nu_134111,%gam_157218,%gam_157276}*gamma_{%\nu_134112,%gam_157277,%del_92947}*A_{j_34949,+%\nu_134112}(p_4)^(*)*A_{i_34949,+%\nu_134111}(p_3)^(*)*d_{l_34947,%del_92947}(p_2)_u*d_{k_34947,%gam_157218}(p_1)_v^(*) + -m_d*gamma_{%\nu_134111,%gam_157221,%gam_157278}*gamma_{%\nu_134112,%gam_157278,%del_92948}*A_{j_34949,+%\nu_134112}(p_4)^(*)*A_{i_34949,+%\nu_134111}(p_3)^(*)*d_{l_34947,%del_92948}(p_2)_u*d_{k_34947,%gam_157221}(p_1)_v^(*))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) : -1/648*e^4*s_11*(64*m_d^2 + (-16)*s_12)*(m_d^2 + -s_11 + 2*s_13 + -reg_prop)^(-2) + -8/81*i*e^2*m_d*(i*e^2*m_d*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + -4/81*i*e^2*(i*e^2*s_13*s_23/(m_d^2 + -s_11 + 2*s_13 + -reg_prop) + 4*i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -reg_prop)
